ins_size	fq
0	776
1	26
2	25
3	6
4	0
5	1
6	0
7	7
8	0
9	0
10	0
11	0
12	0
13	0
14	10
15	0
16	0
17	0
18	1
19	12
20	0
21	0
22	0
23	0
24	0
25	17
26	0
27	0
28	0
29	0
30	0
31	1
32	6
33	197
34	9
35	77
36	81
37	41
38	55
39	96
40	29
41	12
42	179
43	366
44	24
45	93
46	4
47	10
48	15
49	14
50	173
51	31
52	9
53	31
54	152
55	0
56	37
57	15
58	1
59	8
60	83
61	0
62	20
63	9
64	151
65	2
66	29
67	3
68	0
69	19
70	13
71	0
72	0
73	4
74	0
75	1
76	0
77	2
78	36
79	0
80	0
81	7
82	3
83	0
84	103
85	1
86	2
87	14
88	1
89	76
90	7420
91	17
92	2
93	2
94	14
95	3
96	19
97	20
98	10
99	3
100	0
101	0
102	30
103	17
104	48
105	27
106	0
107	0
108	7
109	1
110	3
111	0
112	10
113	0
114	117
115	0
116	38
117	1
118	1
119	1
120	1
121	1
122	1
