indel_size	fq
-161	0
-160	0
-159	0
-158	0
-157	0
-156	0
-155	0
-154	0
-153	0
-152	0
-151	0
-150	0
-149	0
-148	0
-147	0
-146	0
-145	0
-144	0
-143	0
-142	0
-141	0
-140	0
-139	0
-138	0
-137	0
-136	0
-135	0
-134	0
-133	0
-132	0
-131	0
-130	0
-129	0
-128	0
-127	0
-126	0
-125	0
-124	0
-123	0
-122	0
-121	0
-120	0
-119	0
-118	0
-117	0
-116	0
-115	0
-114	0
-113	0
-112	0
-111	0
-110	0
-109	0
-108	0
-107	0
-106	0
-105	0
-104	0
-103	0
-102	0
-101	0
-100	0
-99	0
-98	1
-97	0
-96	1
-95	0
-94	0
-93	1
-92	3
-91	3
-90	0
-89	0
-88	0
-87	0
-86	0
-85	0
-84	0
-83	0
-82	0
-81	0
-80	0
-79	0
-78	0
-77	0
-76	0
-75	0
-74	0
-73	0
-72	0
-71	0
-70	0
-69	0
-68	0
-67	0
-66	0
-65	0
-64	0
-63	0
-62	0
-61	0
-60	0
-59	0
-58	0
-57	0
-56	0
-55	0
-54	0
-53	0
-52	0
-51	0
-50	0
-49	0
-48	0
-47	0
-46	0
-45	0
-44	0
-43	0
-42	0
-41	0
-40	0
-39	0
-38	0
-37	0
-36	0
-35	0
-34	0
-33	0
-32	0
-31	0
-30	0
-29	0
-28	0
-27	0
-26	0
-25	0
-24	0
-23	0
-22	0
-21	0
-20	0
-19	0
-18	0
-17	0
-16	0
-15	0
-14	0
-13	2
-12	0
-11	0
-10	0
-9	1
-8	4
-7	5
-6	1
-5	6
-4	26
-3	52
-2	87
-1	222
0	601
1	93
2	69
3	50
4	24
5	43
6	69
7	170
8	98
9	106
10	46
11	17
12	42
13	22
14	20
15	12
16	24
17	23
18	23
19	93
20	36
21	26
22	22
23	31
24	1
25	23
26	3
27	7
28	2
29	9
30	26
31	162
32	79
33	233
34	37
35	14
36	19
37	3
38	9
39	18
40	30
41	29
42	144
43	18
44	21
45	151
46	6
47	4
48	21
49	6
50	7
51	36
52	10
53	24
54	192
55	3
56	4
57	29
58	9
59	8
60	73
61	13
62	20
63	54
64	12
65	12
66	100
67	21
68	8
69	55
70	7
71	7
72	35
73	17
74	5
75	17
76	8
77	32
78	224
79	3
80	19
81	23
82	12
83	30
84	144
85	14
86	49
87	58
88	195
89	584
90	5260
91	22
